마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,38655,33014,37266,34300
매출,38655,33014,37266,34300
기타 매출 총계,-,-,-,-
총매출원가,15357,13433,14619,13067
총 이익,23298,19581,22647,21233
총 영업비용,27737,23435,28062,26817
판매/일반/관리 비용 총계,12144,9731,12150,10984
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-47,18
특별비용(수익),236,245,1329,2750
기타 영업비용 총계,-,26,11,-2
영업 이익,10918,9579,9204,7483
영업외이자수익(비용) 순계,1246,4,840,9
자산처분이익(손실),-,-,739,-
기타비용 순계,261,166,3,733
세전당기순이익,12425,9749,10786,8225
소득세충당금,2621,1981,1801,1741
세후당기순이익,9804,7768,8985,6484
소액주주지분,-33,-21,-65,-42
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,9771,7747,8920,6442
특별손익항목 총계,-,-,-,-8
순이익,9771,7747,8920,6434
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,9771,7747,8920,6442
희석화에 따른 조정,-,-,-,14.5
희석 당기순이익,9771,7747,8920,6434
희석된 가중 평균 주식,4340,4323,4314,4299
특별손익항목 제외 희석주당순이익,2.25,1.79,2.07,1.5
주당배당금 - 발행 보통주,1.67,1.63,1.59,1.54
희석 정상주당순이익,2.29,1.84,2.18,2
