마감 기준:,"2022
31/03","2021
31/03","2020
31/03","2019
31/03"
총매출,263966,238228,231051,214319
매출,263966,238228,231051,214319
기타 매출 총계,-,-,-,-
총매출원가,250680,225944,219028,202565
총 이익,13286,12284,12023,11754
총 영업비용,262119,243268,228148,213543
판매/일반/관리 비용 총계,10028,8543,9086,8403
연구 및 개발,-,-,96,71
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),1411,8723,-62,2504
기타 영업비용 총계,-,58,9264,8474
영업 이익,1847,-5040,2903,776
영업외이자수익(비용) 순계,-27,-24,-1686,-210
자산처분이익(손실),-,-,-,-
기타비용 순계,108,30,-73,44
세전당기순이익,1928,-5034,1144,610
소득세충당금,636,-695,18,442
세후당기순이익,1292,-4339,1126,168
소액주주지분,-173,-199,-220,-221
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1119,-4538,906,-53
특별손익항목 총계,-5,-1,-6,87
순이익,1114,-4539,900,34
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1119,-4538,906,-53
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1114,-4539,900,34
희석된 가중 평균 주식,154.1,160.6,182,197
특별손익항목 제외 희석주당순이익,7.26,-28.26,4.98,-0.27
주당배당금 - 발행 보통주,1.78,1.66,1.6,1.46
희석 정상주당순이익,13.43,7.05,6.13,7.72
