마감 기준:,"2022
28/02","2021
28/02","2020
29/02","2019
28/02"
총매출,31900.41,18950.15,20319.99,18173.1
매출,31900.41,18950.15,20319.99,18173.1
기타 매출 총계,-,-,-,-
총매출원가,28612.87,16571.02,17597.65,15692.51
총 이익,3287.54,2379.12,2722.34,2480.59
총 영업비용,30408.07,17984.89,19159,17060.29
판매/일반/관리 비용 총계,2347.82,1939.08,1940.07,1730.28
연구 및 개발,-,-,-,-
감가상각/무형자산상각,211.96,-,-,-
영업이자비용(수익) 순계,-707.41,-476.63,-373.02,-362.9
특별비용(수익),-22.6,-40.3,-,-
기타 영업비용 총계,-34.57,-8.28,-5.69,0.41
영업 이익,1492.35,965.26,1160.99,1112.81
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1492.35,965.26,1160.99,1112.81
소득세충당금,341.05,218.34,272.55,270.39
세후당기순이익,1151.3,746.92,888.43,842.41
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1151.3,746.92,888.43,842.41
특별손익항목 총계,-,-,-,-
순이익,1151.3,746.92,888.43,842.41
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1151.3,746.92,888.43,842.41
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1151.3,746.92,888.43,842.41
희석된 가중 평균 주식,165.18,165.13,166.82,175.88
특별손익항목 제외 희석주당순이익,6.97,4.52,5.33,4.79
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,6.86,4.33,5.33,4.79
