마감 기준:,"2022
29/01","2021
30/01","2020
01/02","2019
02/02"
총매출,7882,6434,5405,13237
매출,7882,6434,5405,13237
기타 매출 총계,-,-,-,-
총매출원가,4027,3338,3018,8237
총 이익,3855,3096,2387,5000
총 영업비용,6068,4883,4442,12000
판매/일반/관리 비용 총계,1846,1462,1347,3563
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),195,83,77,200
기타 영업비용 총계,-,-,-,-
영업 이익,1814,1551,963,1237
영업외이자수익(비용) 순계,-388,-432,-370,-385
자산처분이익(손실),-,-,-,-
기타비용 순계,-3,3,15,5
세전당기순이익,1423,1122,608,857
소득세충당금,348,257,148,213
세후당기순이익,1075,865,460,644
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1075,865,460,644
특별손익항목 총계,258,-21,-826,-
순이익,1333,844,-366,644
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1075,865,460,644
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1333,844,-366,644
희석된 가중 평균 주식,273,281,276,279
특별손익항목 제외 희석주당순이익,3.94,3.08,1.67,2.31
주당배당금 - 발행 보통주,0.45,0.3,1.2,2.4
희석 정상주당순이익,4.86,3.62,2.01,3.23
