마감 기준:,"2021
31/12","2020
31/12","2019
28/12","2018
29/12"
총매출,5764.82,5505.79,5692.6,5366.32
매출,5764.82,5505.79,5692.6,5366.32
기타 매출 총계,-,-,-,-
총매출원가,1001.02,932.94,1071.04,937.35
총 이익,4763.81,4572.85,4621.56,4428.98
총 영업비용,5056.55,4591.22,5091.93,4591.54
판매/일반/관리 비용 총계,3156.87,3074.2,3195.94,2883.16
연구 및 개발,574.2,501.69,509.72,473.44
감가상각/무형자산상각,324.46,302.91,315.23,297.59
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-220.52,36.29,-
기타 영업비용 총계,-,-,-0,-
영업 이익,708.28,914.57,600.67,774.78
영업외이자수익(비용) 순계,-17.5,75.66,53.38,26.22
자산처분이익(손실),-,-,-,-
기타비용 순계,8.68,1.25,0.46,-0.16
세전당기순이익,699.46,991.47,654.51,800.85
소득세충당금,143.86,211.38,125.06,170.79
세후당기순이익,555.6,780.09,529.45,630.06
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,555.6,780.09,529.45,630.06
특별손익항목 총계,-,-,-,-
순이익,555.6,780.09,529.45,630.06
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,555.6,780.09,529.45,630.06
희석화에 따른 조정,-,-,-,-
희석 당기순이익,555.6,780.09,529.45,630.06
희석된 가중 평균 주식,301.27,309.14,321.24,333.57
특별손익항목 제외 희석주당순이익,1.84,2.52,1.65,1.89
주당배당금 - 발행 보통주,0.93,0.76,0.18,-
희석 정상주당순이익,1.84,1.96,1.72,1.89
