마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2809.56,2537.16,2595.36,2448.38
매출,2809.56,2537.16,2595.36,2448.38
기타 매출 총계,-,-,-,-
총매출원가,1259.96,1212.28,1103.75,1063.94
총 이익,1549.6,1324.87,1491.61,1384.44
총 영업비용,2194.45,2114.09,2176.93,2126.68
판매/일반/관리 비용 총계,860.09,706.85,934.37,878.69
연구 및 개발,130.84,119.75,113.86,106.21
감가상각/무형자산상각,-,-,149.9,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-56.43,75.2,24.95,77.84
기타 영업비용 총계,-,-,-,-
영업 이익,615.11,423.07,418.43,321.7
영업외이자수익(비용) 순계,-55.64,-65.34,-78.53,-102.08
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,559.47,357.73,339.9,219.63
소득세충당금,74.35,21.93,-122.08,23.2
세후당기순이익,485.12,335.8,461.98,196.43
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,485.12,335.8,461.98,196.43
특별손익항목 총계,0.26,-0.48,-0.52,4.37
순이익,485.37,335.32,461.47,200.8
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,485.12,335.8,461.98,196.43
희석화에 따른 조정,-,-,-,-
희석 당기순이익,485.37,335.32,461.47,200.8
희석된 가중 평균 주식,47.43,47.29,47.09,46.8
특별손익항목 제외 희석주당순이익,10.23,7.1,9.81,4.2
주당배당금 - 발행 보통주,1.36,1.36,1.36,1.36
희석 정상주당순이익,9.2,8.59,10.15,5.68
