마감 기준:,"2021
31/10","2020
31/10","2019
31/10","2018
31/10"
총매출,63487,56639,58756,58472
매출,63487,56639,58756,58472
기타 매출 총계,-,-,-,-
총매출원가,50070,46202,47586,47803
총 이익,13417,10437,11170,10669
총 영업비용,55897,53217,54879,54767
판매/일반/관리 비용 총계,5741,4906,5368,5099
연구 및 개발,1907,1478,1499,1404
감가상각/무형자산상각,154,113,116,80
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-1975,518,310,381
기타 영업비용 총계,-,-,-,-
영업 이익,7590,3422,3877,3705
영업외이자수익(비용) 순계,-254,-239,-347,-286
자산처분이익(손실),-,-,-,-
기타비용 순계,175,48,-1007,-406
세전당기순이익,7511,3231,2523,3013
소득세충당금,1008,387,-551,150
세후당기순이익,6503,2844,3074,2863
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,6503,2844,3074,2863
특별손익항목 총계,-,-,78,2464
순이익,6503,2844,3152,5327
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,6503,2844,3074,2863
희석화에 따른 조정,-,-,-,-
희석 당기순이익,6503,2844,3152,5327
희석된 가중 평균 주식,1220,1420,1524,1634
특별손익항목 제외 희석주당순이익,5.33,2,2.02,1.75
주당배당금 - 발행 보통주,0.78,0.7,0.64,0.56
희석 정상주당순이익,3.93,2.32,2.15,1.97
