마감 기준:,"2021
30/04","2020
24/04","2019
26/04","2018
27/04"
총매출,30117,28913,30557,29953
매출,30117,28913,30557,29953
기타 매출 총계,-,-,-,-
총매출원가,10355,9269,9064,9039
총 이익,19762,19644,21493,20914
총 영업비용,25941,24535,24774,23351
판매/일반/관리 비용 총계,9776,9875,10232,9953
연구 및 개발,2493,2331,2330,2256
감가상각/무형자산상각,1783,1756,1764,1823
영업이자비용(수익) 순계,-,-117,-224,226
특별비용(수익),1219,1303,1342,-172
기타 영업비용 총계,315,118,266,226
영업 이익,4176,4378,5783,6602
영업외이자수익(비용) 순계,-425,-379,-676,-938
자산처분이익(손실),-,-,-,-
기타비용 순계,144,56,90,11
세전당기순이익,3895,4055,5197,5675
소득세충당금,371,-688,535,298
세후당기순이익,3524,4743,4662,5377
소액주주지분,-24,-17,-19,9
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3500,4726,4643,5386
특별손익항목 총계,106,63,-12,-2282
순이익,3606,4789,4631,3104
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,3500,4726,4643,5386
희석화에 따른 조정,-,-,-,1.81
희석 당기순이익,3606,4789,4631,3104
희석된 가중 평균 주식,1354,1351.1,1357.5,1368.2
특별손익항목 제외 희석주당순이익,2.58,3.5,3.42,3.94
주당배당금 - 발행 보통주,2.32,2.16,2,1.84
희석 정상주당순이익,3.56,4.13,4.31,3.82
