마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,12857,11370,10817,10076
매출,10991,-,-,-
기타 매출 총계,1866,11370,10817,10076
총매출원가,611,276,344,357
총 영업비용,11603,8851,8108,9442
연료비,3218,2388,2190,2850
운영 및 유지,4338,3940,3466,3150
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1855,1666,1569,1491
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),1596,314,43,1122
기타 영업비용 총계,596,543,496,472
영업 이익,1254,2519,2709,634
영업외이자수익(비용) 순계,-1125,-1036,-1090,-488
자산처분이익(손실),36,-3,63,513
기타비용 순계,-79,-119,52,55
세전당기순이익,219,1489,1734,714
소득세충당금,99,249,315,-49
세후당기순이익,120,1240,1419,763
소액주주지분,-145,-172,-164,-76
관계회사 주식,1343,1015,580,175
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1318,2083,1835,862
특별손익항목 총계,-,1850,363,188
순이익,1318,3933,2198,1050
당기순이익에 대한 조정 총계,-64,-169,-143,-126
특별손익항목 제외 보통주주 분배 가능 이익,1254,1914,1692,736
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1254,3764,2055,924
희석된 가중 평균 주식,313.04,292.25,282.03,269.85
특별손익항목 제외 희석주당순이익,4.01,6.55,6,2.73
주당배당금 - 발행 보통주,4.34,4.1,3.8,3.51
희석 정상주당순이익,6.74,7.45,5.94,4.19
