마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,174274,160346,153743,48446
총 프리미엄이익,172529,158953,152176,47170
순 투자이익,1549,1244,1390,1357
미실현이익 (손실),196,149,177,-81
기타 매출 총계,-,-,-,-
총 영업비용,166284,148040,145491,44594
"손익,혜택 및 조정,총",33562,32710,30819,27528
정책획득비용 상환,478,502,483,406
판매/일반/관리 비용 총계,12242,13088,12760,10755
감가상각/무형자산상각,1998,1982,2949,235
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),451,-3726,812,877
기타 영업비용 총계,117553,103484,97668,4793
영업 이익,7990,12306,8252,3852
영업외이자수익(비용) 순계,-1208,-1438,-1682,-271
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,6782,10868,6570,3581
소득세충당금,1367,2379,1450,939
세후당기순이익,5415,8489,5120,2642
소액주주지분,-50,-31,-16,-9
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5365,8458,5104,2633
특별손익항목 총계,-,-,-,4
순이익,5365,8458,5104,2637
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,5365,8458,5104,2633
희석화에 따른 조정,-,-,-,-
희석 당기순이익,5365,8458,5104,2637
희석된 가중 평균 주식,340.97,368.39,379.82,250.22
특별손익항목 제외 희석주당순이익,15.73,22.96,13.44,10.52
주당배당금 - 발행 보통주,4,0.04,0.04,0.04
희석 정상주당순이익,16.55,10.47,16.05,15.47
