마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,931.03,738.69,714.01,642.99
매출,931.03,738.69,714.01,642.99
기타 매출 총계,-,-,-,-
총매출원가,298.18,255.5,240.51,210.85
총 이익,632.85,483.19,473.49,432.14
총 영업비용,693.74,581.27,583.39,523.01
판매/일반/관리 비용 총계,288.92,240.88,236.87,194.18
연구 및 개발,70.6,65.19,62.41,55.33
감가상각/무형자산상각,28.4,26.36,25.21,21.65
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),7.63,-6.66,18.38,41.01
기타 영업비용 총계,-,-,-,-
영업 이익,237.3,157.42,130.62,119.98
영업외이자수익(비용) 순계,-88.18,120.62,-21.56,6.09
자산처분이익(손실),-,-,3.7,0.5
기타비용 순계,-0.94,-1.56,-0.74,-0.62
세전당기순이익,148.18,276.48,112.02,125.95
소득세충당금,8.59,47.18,15.94,33
세후당기순이익,139.59,229.3,96.07,92.95
소액주주지분,0.82,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,140.41,229.3,96.07,92.95
특별손익항목 총계,-,-,-,33.2
순이익,140.41,229.3,96.07,126.15
당기순이익에 대한 조정 총계,-0.09,-0.22,-0.1,-
특별손익항목 제외 보통주주 분배 가능 이익,140.32,229.07,95.97,92.95
희석화에 따른 조정,-,0.02,-,-
희석 당기순이익,140.32,229.07,95.97,126.15
희석된 가중 평균 주식,40.48,39.4,38.89,38.05
특별손익항목 제외 희석주당순이익,3.47,5.81,2.47,2.44
주당배당금 - 발행 보통주,1.28,1.28,1.28,1.28
희석 정상주당순이익,3.68,5.67,2.87,3.28
