마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5546.51,4540.03,5158.56,4845.87
매출,5546.51,4540.03,5158.56,4845.87
기타 매출 총계,-,-,-,-
총매출원가,3633.9,2952.82,3209,3045.31
총 이익,1912.61,1587.21,1949.56,1800.56
총 영업비용,4237.84,3371.14,3981.18,3770.33
판매/일반/관리 비용 총계,603.94,515.43,610.28,584.02
연구 및 개발,-,-,161.9,141
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-97.1,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,1308.67,1168.88,1177.38,1075.54
영업외이자수익(비용) 순계,-80.38,-86.06,-88.48,-82.18
자산처분이익(손실),-,-,-,-
기타비용 순계,-5.12,-0.51,-19.15,-5.62
세전당기순이익,1223.17,1082.31,1069.75,987.75
소득세충당금,233.12,209.87,208.45,221.61
세후당기순이익,990.05,872.44,861.3,766.13
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,990.05,872.44,861.3,766.13
특별손익항목 총계,-,-,-,11.8
순이익,990.05,872.44,861.3,777.93
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,990.05,872.44,861.3,766.13
희석화에 따른 조정,-,-,-,-
희석 당기순이익,990.05,872.44,861.3,777.93
희석된 가중 평균 주식,232.81,231.15,229.4,232.71
특별손익항목 제외 희석주당순이익,4.25,3.77,3.75,3.29
주당배당금 - 발행 보통주,0.8,0.72,0.56,0.56
희석 정상주당순이익,4.25,3.44,3.75,3.29
