마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,1382.05,774.42,624.33,316.16
매출,1382.05,774.42,624.33,316.16
기타 매출 총계,-,-,-,-
총매출원가,827.63,428.44,403.09,221.71
총 이익,554.42,345.98,221.25,94.44
총 영업비용,1222.71,587.99,521.6,314.56
판매/일반/관리 비용 총계,233.06,103.62,75.54,56.13
연구 및 개발,105.53,55.92,40.38,32.59
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),56.5,-,2.6,4.13
기타 영업비용 총계,-,-,-,-
영업 이익,159.34,186.44,102.73,1.6
영업외이자수익(비용) 순계,-44.46,-63.19,-7.18,-9.63
자산처분이익(손실),-,-,-,-
기타비용 순계,6.05,-3.84,-5.44,-2.19
세전당기순이익,120.93,119.41,90.11,-10.23
소득세충당금,-24.52,-14.59,-71.03,1.4
세후당기순이익,145.45,134,161.15,-11.63
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,145.45,134,161.15,-11.63
특별손익항목 총계,-,-,-,-
순이익,145.45,134,161.15,-11.63
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,145.45,134,161.15,-11.63
희석화에 따른 조정,-,-,-,-
희석 당기순이익,145.45,134,161.15,-11.63
희석된 가중 평균 주식,142.88,141.92,131.64,99.62
특별손익항목 제외 희석주당순이익,1.02,0.94,1.22,-0.12
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,1.28,0.94,1.24,-0.09
