마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,10589,9385,9714.9,10154
매출,10589,9385,9714.9,10154
기타 매출 총계,-,-,-,-
총매출원가,7293,6306,6495.5,6636.3
총 이익,3296,3079,3219.4,3517.7
총 영업비용,9657,10039,10224.9,17712.1
판매/일반/관리 비용 총계,2121,2045,2302,2496.8
연구 및 개발,153,144,149,151
감가상각/무형자산상각,-,-,-,131.4
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),90,1544,1278.4,8428
기타 영업비용 총계,-,-,-,-
영업 이익,932,-654,-510,-7558.1
영업외이자수익(비용) 순계,-261,-288,-308.7,-440.2
자산처분이익(손실),-,-,-,-
기타비용 순계,22,-64,-32.9,6.6
세전당기순이익,693,-1006,-851.6,-7991.7
소득세충당금,121,-236,-1037.7,-1358.9
세후당기순이익,572,-770,186.1,-6632.8
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,572,-770,186.1,-6632.8
특별손익항목 총계,-,-,-79.5,-309.7
순이익,572,-770,106.6,-6942.5
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,572,-770,186.1,-6632.8
희석화에 따른 조정,-,-,-,-
희석 당기순이익,572,-770,106.6,-6942.5
희석된 가중 평균 주식,428,424.1,423.9,473.7
특별손익항목 제외 희석주당순이익,1.34,-1.82,0.44,-14
주당배당금 - 발행 보통주,0.92,0.92,0.92,0.92
희석 정상주당순이익,1.56,0.55,2.4,-2.44
