마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,12193,11066,11013,10770
매출,12193,11066,11013,10770
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,9961,8267,8831,9232
판매/일반/관리 비용 총계,9777,7872,7843,7985
연구 및 개발,-,-,-,-
감가상각/무형자산상각,326,413,550,580
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-142,-18,438,667
기타 영업비용 총계,-,-,-,-
영업 이익,2232,2799,2182,1538
영업외이자수익(비용) 순계,-322,-347,-320,-293
자산처분이익(손실),-,-,-,-
기타비용 순계,21,13,9,1
세전당기순이익,1931,2465,1871,1246
소득세충당금,623,448,297,58
세후당기순이익,1308,2017,1574,1188
소액주주지분,-53,-49,-41,-40
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1255,1968,1533,1148
특별손익항목 총계,-,1,-1,-14
순이익,1255,1969,1532,1134
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1255,1968,1533,1148
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1255,1969,1532,1134
희석된 가중 평균 주식,226.1,233.1,240.6,247
특별손익항목 제외 희석주당순이익,5.55,8.44,6.37,4.65
주당배당금 - 발행 보통주,1.99,1.78,1.72,1.56
희석 정상주당순이익,9.43,8.81,7.95,7.22
