마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,22106,22147,22338,21839
총 프리미엄이익,17820,18779,18864,18746
순 투자이익,3818,3638,3578,3442
미실현이익 (손실),468,-270,-104,-349
기타 매출 총계,-,-,-,-
총 영업비용,16546,17746,17665,17634
"손익,혜택 및 조정,총",15044,16251,16038,15968
정책획득비용 상환,1170,1214,1282,1245
판매/일반/관리 비용 총계,287,240,273,291
감가상각/무형자산상각,45,41,41,49
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,31,81
기타 영업비용 총계,-,-,-,-
영업 이익,5560,4401,4673,4205
영업외이자수익(비용) 순계,-238,-242,-228,-222
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,5322,4159,4445,3983
소득세충당금,997,-619,1141,1045
세후당기순이익,4325,4778,3304,2938
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,4325,4778,3304,2938
특별손익항목 총계,-,-,-,-18
순이익,4325,4778,3304,2920
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,4325,4778,3304,2938
희석화에 따른 조정,-,-,-,0.43
희석 당기순이익,4325,4778,3304,2920
희석된 가중 평균 주식,676.73,716.19,746.43,774.65
특별손익항목 제외 희석주당순이익,6.39,6.67,4.43,3.79
주당배당금 - 발행 보통주,1.32,1.12,1.08,1.04
희석 정상주당순이익,6.48,6.67,4.46,3.87
