마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,4993.7,4529,4362.2,4329.9
매출,4993.7,4529,4362.2,4329.9
기타 매출 총계,-,-,-,-
총매출원가,3570.8,3265.1,3131.9,3169.6
총 이익,1422.9,1263.9,1230.3,1160.3
총 영업비용,4315,3904.1,3709.5,3735
판매/일반/관리 비용 총계,744.3,639,577.5,565.4
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,-0.1,-,0.1,-
영업 이익,678.7,624.9,652.7,594.9
영업외이자수익(비용) 순계,-55.2,-58.8,-41.8,-33.8
자산처분이익(손실),-,-,-,-
기타비용 순계,72.7,13.4,-3.6,-0.1
세전당기순이익,696.2,579.5,607.3,561
소득세충당금,148.7,117,124.7,117.6
세후당기순이익,547.5,462.5,482.6,443.4
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,547.5,462.5,482.6,443.4
특별손익항목 총계,-,-,-0.5,-15.5
순이익,547.5,462.5,482.1,427.9
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,547.5,462.5,482.6,443.4
희석화에 따른 조정,-,-,0.23,-
희석 당기순이익,547.5,462.5,482.1,427.9
희석된 가중 평균 주식,117.8,117,118.8,120.4
특별손익항목 제외 희석주당순이익,4.65,3.95,4.06,3.68
주당배당금 - 발행 보통주,2.3,2.16,1.94,1.46
희석 정상주당순이익,4.99,4.34,4.3,3.95
