마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,25371,21454,17772,15451
매출,25371,21454,17772,15451
기타 매출 총계,-,-,-,-
총매출원가,13450,11453,9785,8337
총 이익,11921,10001,7987,7114
총 영업비용,21109,18165,15053,13257
판매/일반/관리 비용 총계,4559,3931,3112,2764
연구 및 개발,3038,2642,2085,1071
감가상각/무형자산상각,-,-,-,776
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),62,139,71,309
기타 영업비용 총계,-,-,-,-
영업 이익,4262,3289,2719,2194
영업외이자수익(비용) 순계,-129,1793,314,129
자산처분이익(손실),-,-,-,-
기타비용 순계,-34,-17,-35,53
세전당기순이익,4099,5065,2998,2376
소득세충당금,-70,863,539,299
세후당기순이익,4169,4202,2459,2077
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,4169,4202,2459,2077
특별손익항목 총계,-,-,-,-20
순이익,4169,4202,2459,2057
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,4169,4202,2459,2077
희석화에 따른 조정,-,-,-,0.13
희석 당기순이익,4169,4202,2459,2057
희석된 가중 평균 주식,1186,1187,1188,1203
특별손익항목 제외 희석주당순이익,3.52,3.54,2.07,1.73
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,3.55,3.64,2.17,2.02
