마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,8352,7418,7564,10589
매출,-,-,-,-
기타 매출 총계,8352,7418,7564,10589
총매출원가,-,-,-,-
총 영업비용,7034,6381,6493,9758
연료비,2335,1745,2019,5774
운영 및 유지,2810,2744,2775,2335
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1316,1189,1225,1243
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),45,187,-,-
기타 영업비용 총계,528,516,474,406
영업 이익,1318,1037,1071,831
영업외이자수익(비용) 순계,-598,-538,-325,-599
자산처분이익(손실),-,-,-,-
기타비용 순계,58,64,28,282
세전당기순이익,778,563,774,514
소득세충당금,110,80,92,146
세후당기순이익,668,483,682,368
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,668,483,682,368
특별손익항목 총계,818,-1256,109,-
순이익,1486,-773,791,368
당기순이익에 대한 조정 총계,-95,-176,-117,-35
특별손익항목 제외 보통주주 분배 가능 이익,573,307,565,333
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1391,-949,674,333
희석된 가중 평균 주식,610,531,505,452.46
특별손익항목 제외 희석주당순이익,0.94,0.58,1.12,0.74
주당배당금 - 발행 보통주,0.65,0.74,1.15,1.11
희석 정상주당순이익,1,0.88,1.12,0.74
