마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5788,4307,9452,8906
매출,5788,4307,9452,8906
기타 매출 총계,-,-,-,-
총매출원가,3454,3104,5763,5323
총 이익,2334,1203,3689,3583
총 영업비용,4847,4773,7795,7474
판매/일반/관리 비용 총계,1084,931,1695,1775
연구 및 개발,-,-,-,-
감가상각/무형자산상각,188,331,346,325
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),76,347,-81,-
기타 영업비용 총계,45,60,72,51
영업 이익,941,-466,1657,1432
영업외이자수익(비용) 순계,-404,-456,-416,-382
자산처분이익(손실),-,-,-,-
기타비용 순계,23,-2,3,28
세전당기순이익,560,-924,1244,1078
소득세충당금,153,-204,358,296
세후당기순이익,407,-720,886,782
소액주주지분,3,5,-5,-5
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,410,-715,881,777
특별손익항목 총계,-,-,-,-13
순이익,410,-715,881,764
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,410,-715,881,777
희석화에 따른 조정,-,-,-,-
희석 당기순이익,410,-715,881,764
희석된 가중 평균 주식,281,277,290,305
특별손익항목 제외 희석주당순이익,1.46,-2.58,3.04,2.55
주당배당금 - 발행 보통주,-,0.15,0.6,0.6
희석 정상주당순이익,1.7,-1.64,3,2.55
