마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,38469,37925,39350,36193
매출,38469,37925,39350,36193
기타 매출 총계,-,-,-,-
총매출원가,32061,31600,32291,29478
총 이익,6408,6325,7059,6715
총 영업비용,34306,33792,34702,31766
판매/일반/관리 비용 총계,2245,2192,2411,2258
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,30
기타 영업비용 총계,34306,33792,34702,31736
영업 이익,4163,4133,4648,4427
영업외이자수익(비용) 순계,-424,-477,-460,-356
자산처분이익(손실),-,-,-,-
기타비용 순계,134,82,14,14
세전당기순이익,3873,3738,4202,4085
소득세충당금,616,571,718,727
세후당기순이익,3257,3167,3484,3358
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3257,3167,3484,3358
특별손익항목 총계,-,-,-,-13
순이익,3257,3167,3484,3345
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,3257,3167,3484,3358
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3257,3167,3484,3345
희석된 가중 평균 주식,282.02,287.91,290.84,299.16
특별손익항목 제외 희석주당순이익,11.55,11,11.98,11.22
주당배당금 - 발행 보통주,4.67,4.32,3.99,3.63
희석 정상주당순이익,11.55,11,11.98,11.31
