마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,12784,11673,11362,11099
매출,12784,11673,11362,11099
기타 매출 총계,-,-,-,-
총매출원가,7626,7038,6541,6305
총 이익,5158,4635,4821,4794
총 영업비용,11129,10213,10345,9492
판매/일반/관리 비용 총계,2582,2302,2397,2387
연구 및 개발,528,493,508,599
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),393,380,899,210
기타 영업비용 총계,-6,-19,-,-9
영업 이익,1655,1460,1017,1607
영업외이자수익(비용) 순계,-170,-170,-124,-28
자산처분이익(손실),-,-,-,-
기타비용 순계,-8,2,77,38
세전당기순이익,1477,1292,970,1617
소득세충당금,182,182,153,272
세후당기순이익,1295,1110,817,1345
소액주주지분,-11,-8,-10,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1284,1102,807,1345
특별손익항목 총계,-,-,194,201
순이익,1284,1102,1001,1546
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1284,1102,807,1345
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1284,1102,1001,1546
희석된 가중 평균 주식,508,517,519,546
특별손익항목 제외 희석주당순이익,2.53,2.13,1.55,2.46
주당배당금 - 발행 보통주,1.08,0.95,0.85,0.73
희석 정상주당순이익,3.21,2.82,2.84,2.44
