마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,85249,64355,64656,64341
매출,85249,64355,64656,64341
기타 매출 총계,-,-,-,-
총매출원가,79262,59902,60509,60160
총 이익,5987,4453,4147,4181
총 영업비용,82539,63078,63305,62379
판매/일반/관리 비용 총계,2994,2687,2493,2165
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),283,489,303,54
기타 영업비용 총계,-,-,-,-
영업 이익,2710,1277,1351,1962
영업외이자수익(비용) 순계,426,328,223,139
자산처분이익(손실),100,161,-39,43
기타비용 순계,77,117,53,-84
세전당기순이익,3313,1883,1588,2060
소득세충당금,582,109,170,278
세후당기순이익,2731,1774,1418,1782
소액주주지분,-26,-10,-,-5
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2705,1764,1418,1777
특별손익항목 총계,4,8,-39,33
순이익,2709,1772,1379,1810
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2705,1764,1418,1777
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2709,1772,1379,1810
희석된 가중 평균 주식,566,563,565,567
특별손익항목 제외 희석주당순이익,4.78,3.13,2.51,3.13
주당배당금 - 발행 보통주,1.48,1.44,1.4,1.34
희석 정상주당순이익,5.03,3.72,3.07,3.15
