마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,13874,11359,11088,10412
매출,13874,11359,11088,10412
기타 매출 총계,-,-,-,-
총매출원가,9233,7500,7300,6746
총 이익,4641,3859,3788,3666
총 영업비용,12507,10641,10335,9673
판매/일반/관리 비용 총계,1964,1789,1734,1716
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1264,1287,1202,1141
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),46,65,99,70
기타 영업비용 총계,-,-,-,-
영업 이익,1367,718,753,739
영업외이자수익(비용) 순계,-369,-410,-438,-406
자산처분이익(손실),-,-,-,-
기타비용 순계,130,65,37,-5
세전당기순이익,1128,373,352,328
소득세충당금,163,72,116,94
세후당기순이익,965,301,236,234
소액주주지분,-5,-29,-36,-25
관계회사 주식,6,7,-9,15
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,966,279,191,224
특별손익항목 총계,-,-,-,35
순이익,966,279,191,259
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,966,279,191,224
희석화에 따른 조정,-,-,-,-
희석 당기순이익,966,279,191,259
희석된 가중 평균 주식,195,195,199.6,208.2
특별손익항목 제외 희석주당순이익,4.95,1.43,0.96,1.08
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,5.16,1.7,1.29,1.32
