마감 기준:,"2022
29/01","2021
30/01","2020
01/02","2019
02/02"
총매출,26321.2,25509.3,23610.8,22823.3
매출,26321.2,25509.3,23610.8,22823.3
기타 매출 총계,-,-,-,-
총매출원가,18583.9,17721,16570.1,15875.8
총 이익,7737.3,7788.3,7040.7,6947.5
총 영업비용,24509.8,23621.4,22348.6,23762.8
판매/일반/관리 비용 총계,5917.6,5843.9,5447.9,5147
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,48.1,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),8.3,8.4,330.6,2740
기타 영업비용 총계,-,-,-,-
영업 이익,1811.4,1887.9,1262.2,-939.5
영업외이자수익(비용) 순계,-178.9,-147.3,-162.1,-370
자산처분이익(손실),-,-,-,-
기타비용 순계,-0.3,-0.8,-1.4,0.5
세전당기순이익,1632.2,1739.8,1098.7,-1309
소득세충당금,304.3,397.9,271.7,281.8
세후당기순이익,1327.9,1341.9,827,-1590.8
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1327.9,1341.9,827,-1590.8
특별손익항목 총계,-,-,-,-
순이익,1327.9,1341.9,827,-1590.8
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1327.9,1341.9,827,-1590.8
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1327.9,1341.9,827,-1590.8
희석된 가중 평균 주식,229,237.3,238.3,237.9
특별손익항목 제외 희석주당순이익,5.8,5.65,3.47,-6.69
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,5.95,6.59,4.57,0.8
