마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3763.66,2095.86,6611.1,6717.66
매출,3763.66,2095.86,6611.1,6717.66
기타 매출 총계,-,-,-,-
총매출원가,2558.58,1743.22,4067.72,4087.03
총 이익,1205.08,352.64,2543.38,2630.64
총 영업비용,4160.27,3332.51,5745.23,5982.01
판매/일반/관리 비용 총계,883.66,859.18,1040.19,880.94
연구 및 개발,-,-,-,-
감가상각/무형자산상각,715.96,725.5,624.88,550.6
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),2.06,4.6,12.44,463.45
기타 영업비용 총계,-,-,-,60.26
영업 이익,-396.6,-1236.65,865.87,735.65
영업외이자수익(비용) 순계,-590.99,-554.15,-392.81,-356.5
자산처분이익(손실),-,-,-,-
기타비용 순계,-23.93,28.52,15.16,-73.41
세전당기순이익,-1011.52,-1762.28,488.22,305.74
소득세충당금,0.47,564.67,176.84,-106.44
세후당기순이익,-1011.99,-2326.95,311.38,412.18
소액주주지분,256.2,259.7,-188.39,-230.65
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-755.79,-2067.24,122.98,181.53
특별손익항목 총계,-,-,-,390.9
순이익,-755.79,-2067.24,122.98,572.43
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,-755.79,-2067.24,122.98,181.53
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-755.79,-2067.24,122.98,572.43
희석된 가중 평균 주식,113.76,106.75,106.98,107.03
특별손익항목 제외 희석주당순이익,-6.64,-19.37,1.15,1.7
주당배당금 - 발행 보통주,-,1,3.75,2.75
희석 정상주당순이익,-6.63,-19.34,1.22,4.51
