마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,67044,65398,59812,53762
매출,67044,65398,59812,53762
기타 매출 총계,-,-,-,-
총매출원가,57947,56717,51445,46459
총 이익,9097,8681,8367,7303
총 영업비용,57921,56754,51267,46428
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-186
특별비용(수익),36,27,-85,96
기타 영업비용 총계,-62,10,-93,59
영업 이익,9123,8644,8545,7334
영업외이자수익(비용) 순계,-569,-591,-653,-668
자산처분이익(손실),-,-,-,-
기타비용 순계,-1004,182,-651,-828
세전당기순이익,7550,8235,7241,5838
소득세충당금,1235,1347,1011,835
세후당기순이익,6315,6888,6230,5003
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,6315,6888,6230,5003
특별손익항목 총계,-,-55,-,43
순이익,6315,6833,6230,5046
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,6315,6888,6230,5003
희석화에 따른 조정,-,-,-,-
희석 당기순이익,6315,6833,6230,5046
희석된 가중 평균 주식,277.4,281.2,283.8,286.8
특별손익항목 제외 희석주당순이익,22.76,24.5,21.95,17.44
주당배당금 - 발행 보통주,10.6,9.8,9,8.2
희석 정상주당순이익,22.87,24.58,21.69,17.73
