마감 기준:,"2022
02/01","2021
03/01","2019
29/12","2018
30/12"
총매출,93775,82584,82059,81581
매출,93775,82584,82059,81581
기타 매출 총계,-,-,-,-
총매출원가,29855,28327,27456,26986
총 이익,63920,54257,54603,54595
총 영업비용,70999,66087,64731,63582
판매/일반/관리 비용 총계,23559,21084,22178,22540
연구 및 개발,14714,12159,11355,10775
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-370,-410,-183,394
특별비용(수익),5141,5428,1456,1826
기타 영업비용 총계,-1900,-501,2469,1061
영업 이익,22776,16497,17328,17999
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,22776,16497,17328,17999
소득세충당금,1898,2083,2209,2702
세후당기순이익,20878,14414,15119,15297
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,20878,14414,15119,15297
특별손익항목 총계,-,300,-,-
순이익,20878,14714,15119,15297
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,20878,14414,15119,15297
희석화에 따른 조정,-,-,-,-
희석 당기순이익,20878,14714,15119,15297
희석된 가중 평균 주식,2674,2670.7,2684.3,2728.7
특별손익항목 제외 희석주당순이익,7.81,5.4,5.63,5.61
주당배당금 - 발행 보통주,4.19,3.98,3.75,3.54
희석 정상주당순이익,9.6,7.31,7.87,6.92
