마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,13431,11526,11529,11537
매출,13337,11438,11441,11444
기타 매출 총계,94,88,88,93
총매출원가,1119,726,958,874
총 영업비용,11235,9410,9425,9572
연료비,4482,3274,3282,3854
운영 및 유지,2285,2298,2304,2352
판매/일반/관리 비용 총계,591,552,540,290
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2121,1948,1765,1642
영업이자비용(수익) 순계,-,-,7,4
특별비용(수익),7,-,-,-
기타 영업비용 총계,630,612,569,556
영업 이익,2196,2116,2104,1965
영업외이자수익(비용) 순계,-725,-730,-671,-592
자산처분이익(손실),-,-,-,-
기타비용 순계,-17,-34,-10,-39
세전당기순이익,1527,1467,1500,1442
소득세충당금,-70,-6,128,181
세후당기순이익,1597,1473,1372,1261
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1597,1473,1372,1261
특별손익항목 총계,-,-,-,353
순이익,1597,1473,1372,1261
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1597,1473,1372,1261
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1597,1473,1372,1261
희석된 가중 평균 주식,540,528,520,511
특별손익항목 제외 희석주당순이익,2.96,2.79,2.64,2.47
주당배당금 - 발행 보통주,1.8,1.7,1.59,1.5
희석 정상주당순이익,2.97,2.79,2.64,2.47
