마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,52057,43736,49920,47640
총 프리미엄이익,35294,32343,34495,35043
순 투자이익,14612,13631,14619,12476
미실현이익 (손실),2151,-2238,806,121
기타 매출 총계,-,-,-,-
총 영업비용,38653,49572,43216,46074
"손익,혜택 및 조정,총",27945,28428,29234,31166
정책획득비용 상환,4573,4211,5164,5386
판매/일반/관리 비용 총계,8790,8396,8537,9302
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-2655,8537,281,220
기타 영업비용 총계,-,-,-,-
영업 이익,13404,-5836,6704,1566
영업외이자수익(비용) 순계,-1305,-1457,-1417,-1309
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,12099,-7293,5287,257
소득세충당금,2176,-1460,1166,154
세후당기순이익,9923,-5833,4121,103
소액주주지분,-535,-115,-821,-67
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,9388,-5948,3300,36
특별손익항목 총계,-,4,48,-42
순이익,9388,-5944,3348,-6
당기순이익에 대한 조정 총계,-29,-29,-22,-
특별손익항목 제외 보통주주 분배 가능 이익,9359,-5977,3278,36
희석화에 따른 조정,-,-,-,-
희석 당기순이익,9359,-5973,3326,-6
희석된 가중 평균 주식,864.88,869.31,889.51,898.41
특별손익항목 제외 희석주당순이익,10.82,-6.88,3.69,0.04
주당배당금 - 발행 보통주,1.28,1.28,1.28,1.28
희석 정상주당순이익,8.96,0.69,4.98,0.16
