마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,35355,32184,32136,32765
매출,35355,32184,32136,32765
기타 매출 총계,-,-,-,-
총매출원가,18776,16541,17160,16657
총 이익,16579,15643,14976,16108
총 영업비용,27997,25033,25998,25558
판매/일반/관리 비용 총계,7109,6813,6892,7497
연구 및 개발,1977,1863,1874,1816
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-96,-2
특별비용(수익),135,-184,168,-410
기타 영업비용 총계,-,-,-,-
영업 이익,7358,7151,6138,7207
영업외이자수익(비용) 순계,-451,-490,-530,-280
자산처분이익(손실),-,-,-,-
기타비용 순계,297,134,104,73
세전당기순이익,7204,6795,5712,7000
소득세충당금,1285,1337,1130,1461
세후당기순이익,5919,5458,4582,5539
소액주주지분,-8,-4,-12,-14
관계회사 주식,10,-5,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5921,5449,4570,5525
특별손익항목 총계,-,-,-,-176
순이익,5921,5449,4570,5349
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,5921,5449,4570,5525
희석화에 따른 조정,-,-,-,-
희석 당기순이익,5921,5449,4570,5349
희석된 가중 평균 주식,585.3,582.2,585.1,602
특별손익항목 제외 희석주당순이익,10.12,9.36,7.81,9.18
주당배당금 - 발행 보통주,5.92,5.88,5.76,5.44
희석 정상주당순이익,10.31,9.12,9.12,8.64
