마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2948.04,2317.51,2410.71,2151.37
매출,2948.04,2317.51,2410.71,2151.37
기타 매출 총계,-,-,-,-
총매출원가,1067.26,835.63,866.37,777.99
총 이익,1880.78,1481.89,1544.34,1373.38
총 영업비용,2023.3,1617.83,1604.93,1878.02
판매/일반/관리 비용 총계,369.29,295.61,275.81,252.56
연구 및 개발,586.75,486.59,462.76,442.47
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,405
기타 영업비용 총계,-,-,-,-
영업 이익,924.74,699.68,805.77,273.35
영업외이자수익(비용) 순계,7.21,40.73,56.57,15.16
자산처분이익(손실),-,-,-,-
기타비용 순계,-1.07,-1.56,-0.07,0.29
세전당기순이익,930.88,738.86,862.27,288.8
소득세충당금,90.03,104.31,2.4,-45.41
세후당기순이익,840.85,634.56,859.87,334.21
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,840.85,634.56,859.87,334.21
특별손익항목 총계,-,-,-,-6.1
순이익,840.85,634.56,859.87,328.12
당기순이익에 대한 조정 총계,-,-,-0.42,-0.19
특별손익항목 제외 보통주주 분배 가능 이익,840.85,634.56,859.44,334.03
희석화에 따른 조정,-,-,0.02,0.01
희석 당기순이익,840.85,634.56,859.47,327.94
희석된 가중 평균 주식,319.24,317.86,323.52,80.84
특별손익항목 제외 희석주당순이익,2.63,2,2.66,4.13
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,2.63,2,2.66,7.39
