마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,18996,12109,11785,10989
매출,18996,12109,11785,10989
기타 매출 총계,-,-,-,-
총매출원가,476,418,1064,857
총 이익,18520,11691,10721,10132
총 영업비용,11283,7809,6937,6427
판매/일반/관리 비용 총계,8038,5786,5141,4762
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1164,604,349,306
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),454,423,-,-
기타 영업비용 총계,1151,578,383,502
영업 이익,7713,4300,4848,4562
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,7713,4300,4848,4562
소득세충당금,1858,1001,1144,1055
세후당기순이익,5855,3299,3704,3507
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5855,3299,3704,3507
특별손익항목 총계,-,-,-,-
순이익,5855,3299,3704,3507
당기순이익에 대한 조정 총계,-495,-256,-178,-178
특별손익항목 제외 보통주주 분배 가능 이익,5360,3043,3526,3329
희석화에 따른 조정,-,-,-,-
희석 당기순이익,5360,3043,3526,3329
희석된 가중 평균 주식,1897,1435,1320,1361
특별손익항목 제외 희석주당순이익,2.83,2.12,2.67,2.45
주당배당금 - 발행 보통주,0.72,0.72,0.68,0.46
희석 정상주당순이익,2.93,2.54,2.67,2.45
