마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,74196,75834,95215,97012
매출,74196,75834,95215,97012
기타 매출 총계,-,-,-,-
총매출원가,55315,59319,72160,74700
총 이익,18881,16515,23055,22312
총 영업비용,78821,66300,91745,114549
판매/일반/관리 비용 총계,11208,11782,12846,12515
연구 및 개발,2497,2565,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),7382,-9923,2986,24130
기타 영업비용 총계,2419,2557,3753,3204
영업 이익,-4625,9534,3470,-17537
영업외이자수익(비용) 순계,2111,-1490,-269,-1201
자산처분이익(손실),-,-,-,-
기타비용 순계,-1168,-2075,-2052,-2249
세전당기순이익,-3682,5969,1149,-20987
소득세충당금,-278,-536,724,-118
세후당기순이익,-3404,6505,425,-20869
소액주주지분,71,158,-7,90
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-3333,6663,418,-20779
특별손익항목 총계,-3187,-960,-5397,-1575
순이익,-6520,5703,-4979,-22354
당기순이익에 대한 조정 총계,-246,-637,-461,-455
특별손익항목 제외 보통주주 분배 가능 이익,-3579,6026,-43,-21234
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-6766,5066,-5440,-22809
희석된 가중 평균 주식,1098,1095,1090.5,8691
특별손익항목 제외 희석주당순이익,-3.26,5.5,-0.04,-2.44
주당배당금 - 발행 보통주,0.32,0.32,0.32,0.48
희석 정상주당순이익,4.11,-3.26,2.28,-0.74
