마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5077.48,3716.35,3459.33,3042.36
매출,5077.48,3716.35,3459.33,3042.36
기타 매출 총계,-,-,-,-
총매출원가,1797.51,1366.39,1137.04,965
총 이익,3279.97,2349.96,2322.29,2077.36
총 영업비용,5485.52,3698.49,3094.56,2592.03
판매/일반/관리 비용 총계,1760.31,1450.29,1273.63,1070.18
연구 및 개발,1246.7,873.01,682.28,553.86
감가상각/무형자산상각,13.21,-,0.62,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),681,8.8,1.6,3
기타 영업비용 총계,-,-,-,-
영업 이익,-408.04,17.86,364.77,450.32
영업외이자수익(비용) 순계,-15.5,-64.7,29.72,-21.39
자산처분이익(손실),-,-,-,-
기타비용 순계,12.43,-4.1,-4.36,-5.4
세전당기순이익,-411.11,-50.94,390.14,423.54
소득세충당금,-189.7,1084.69,-1075.52,-782.05
세후당기순이익,-221.41,-1135.63,1465.66,1205.6
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-221.41,-1135.63,1465.66,1205.6
특별손익항목 총계,-,-,-,-
순이익,-221.41,-1135.63,1465.66,1205.6
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,-221.41,-1135.63,1465.66,1205.6
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-221.41,-1135.63,1465.66,1205.6
희석된 가중 평균 주식,797.57,787.86,785.53,772.69
특별손익항목 제외 희석주당순이익,-0.28,-1.44,1.87,1.56
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,0.28,-1.43,1.87,1.56
