마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,12206,4828,6220,8896
매출,12206,4828,6220,8896
기타 매출 총계,-,-,-,-
총매출원가,6369,3136,1197,1153
총 이익,5837,1692,5023,7743
총 영업비용,8992,7682,6075,7691
판매/일반/관리 비용 총계,391,338,3287,4895
연구 및 개발,14,167,58,128
감가상각/무형자산상각,2158,1300,1497,1228
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),60,2741,36,287
기타 영업비용 총계,-,-,-,-
영업 이익,3214,-2854,145,1205
영업외이자수익(비용) 순계,-386,-247,-260,-287
자산처분이익(손실),-,-,-,-
기타비용 순계,70,11,6,26
세전당기순이익,2898,-3090,-109,944
소득세충당금,65,-547,-30,230
세후당기순이익,2833,-2543,-79,714
소액주주지분,-20,-9,-2,-160
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2813,-2552,-81,554
특별손익항목 총계,-,-128,-274,2510
순이익,2813,-2680,-355,3064
당기순이익에 대한 조정 총계,-30,-4,-2,-8
특별손익항목 제외 보통주주 분배 가능 이익,2783,-2556,-83,546
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2783,-2684,-357,3056
희석된 가중 평균 주식,665,377,401,494
특별손익항목 제외 희석주당순이익,4.18,-6.78,-0.21,1.11
주당배당금 - 발행 보통주,0.33,0.42,0.35,0.3
희석 정상주당순이익,4.27,-2.05,-0.15,1.54
