마감 기준:,"2021
31/10","2020
01/11","2019
03/11","2018
04/11"
총매출,27450,23888,22597,20848
매출,27450,23888,22597,20848
기타 매출 총계,-,-,-,-
총매출원가,10589,10337,10037,10095
총 이익,16861,13551,12560,10753
총 영업비용,19129,19702,19153,15819
판매/일반/관리 비용 총계,1347,1825,1709,1056
연구 및 개발,4854,4968,4696,3768
감가상각/무형자산상각,1976,2401,1898,541
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),363,171,813,359
기타 영업비용 총계,-,-,-,-
영업 이익,8321,4186,3444,5029
영업외이자수익(비용) 순계,-1572,-1693,-1201,-487
자산처분이익(손실),-,-,-,-
기타비용 순계,16,-50,-17,3
세전당기순이익,6765,2443,2226,4545
소득세충당금,29,-518,-510,-806
세후당기순이익,6736,2961,2736,5351
소액주주지분,-,-,-,-351
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,6736,2961,2736,5000
특별손익항목 총계,-,-1,-12,7259
순이익,6736,2960,2724,12259
당기순이익에 대한 조정 총계,-299,-297,-29,-
특별손익항목 제외 보통주주 분배 가능 이익,6437,2664,2707,5000
희석화에 따른 조정,-,-,-,-
희석 당기순이익,6437,2663,2695,12259
희석된 가중 평균 주식,429,421,419,431
특별손익항목 제외 희석주당순이익,15,6.33,6.46,11.6
주당배당금 - 발행 보통주,14.4,13,10.6,7
희석 정상주당순이익,15.85,6.59,7.72,12.14
