마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,14905,13578,12347,12657
매출,14905,13578,12347,12657
기타 매출 총계,-,-,-,-
총매출원가,5540,4932,4839,5406
총 영업비용,13428,12361,10572,13209
연료비,-,-,-,-
운영 및 유지,3645,3609,3018,2797
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2218,1967,1730,1871
영업이자비용(수익) 순계,-2,-133,-,-
특별비용(수익),1562,1548,591,2747
기타 영업비용 총계,465,438,394,388
영업 이익,1477,1217,1775,-552
영업외이자수익(비용) 순계,-918,-882,-804,-710
자산처분이익(손실),-,-,-,-
기타비용 순계,112,110,55,69
세전당기순이익,789,566,1127,-1089
소득세충당금,-136,-305,-278,-739
세후당기순이익,925,871,1405,-350
소액주주지분,-,-,-,14
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,925,871,1405,-336
특별손익항목 총계,-,-,-,34
순이익,925,871,1405,-302
당기순이익에 대한 조정 총계,-166,-132,-121,-121
특별손익항목 제외 보통주주 분배 가능 이익,759,739,1284,-457
희석화에 따른 조정,-,-,-,-
희석 당기순이익,759,739,1284,-423
희석된 가중 평균 주식,380,374,341,326
특별손익항목 제외 희석주당순이익,2,1.98,3.77,-1.4
주당배당금 - 발행 보통주,2.65,2.55,2.45,2.42
희석 정상주당순이익,4.67,4.67,4.89,4.08
