마감 기준:,"2021
02/10","2020
03/10","2019
28/09","2018
29/09"
총매출,47049,43185,42405,40052
매출,47049,43185,42405,40052
기타 매출 총계,-,-,-,-
총매출원가,39404,37284,37383,34956
총 이익,7645,5901,5022,5096
총 영업비용,42653,40061,39635,37020
판매/일반/관리 비용 총계,2130,2276,2211,2005
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),1119,501,41,59
기타 영업비용 총계,-,-,-,-
영업 이익,4396,3124,2770,3032
영업외이자수익(비용) 순계,-420,-475,-431,-325
자산처분이익(손실),-,-,-,-
기타비용 순계,65,15,35,38
세전당기순이익,4041,2664,2374,2745
소득세충당금,981,593,381,722
세후당기순이익,3060,2071,1993,2023
소액주주지분,-13,-10,-13,-3
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3047,2061,1980,2020
특별손익항목 총계,-,-,-,1004
순이익,3047,2061,1980,3024
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,3047,2061,1980,2020
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3047,2061,1980,3024
희석된 가중 평균 주식,365,365.43,366.67,365
특별손익항목 제외 희석주당순이익,8.35,5.64,5.4,5.53
주당배당금 - 발행 보통주,1.78,1.68,1.5,1.2
희석 정상주당순이익,12.13,6.81,5.71,5.87
