마감 기준:,"2021
03/04","2020
28/03","2019
30/03","2018
31/03"
총매출,9238.83,10488.56,10266.89,2181.55
매출,9238.83,10488.56,10266.89,2181.55
기타 매출 총계,-,-,-,-
총매출원가,4326.88,4671.12,4641.73,1004.54
총 이익,4911.95,5817.44,5625.16,1177.01
총 영업비용,8633.7,9647.97,9131.89,2033.99
판매/일반/관리 비용 총계,4150.16,4531.01,4359.48,1016.55
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-1.81
특별비용(수익),156.66,445.84,130.69,12.9
기타 영업비용 총계,-,-,-,-
영업 이익,605.13,840.59,1135,147.55
영업외이자수익(비용) 순계,-126.5,-72.17,-92.73,-22.58
자산처분이익(손실),-,-,-,-
기타비용 순계,-22.16,-41.21,-3.95,6.35
세전당기순이익,456.47,727.21,1038.31,131.32
소득세충당금,101.57,191.66,130.69,7.45
세후당기순이익,354.91,535.55,907.63,123.87
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,354.91,535.55,907.63,123.87
특별손익항목 총계,52.96,143.9,352.17,128.93
순이익,407.87,679.45,1259.79,252.79
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,354.91,535.55,907.63,123.87
희석화에 따른 조정,-,-,-,-
희석 당기순이익,407.87,679.45,1259.79,252.79
희석된 가중 평균 주식,392.12,399.94,400.5,401.28
특별손익항목 제외 희석주당순이익,0.91,1.34,2.27,0.31
주당배당금 - 발행 보통주,1.94,1.9,1.94,0.46
희석 정상주당순이익,1.68,2.67,2.81,0.34
