마감 기준:,"2022
31/03","2021
31/03","2020
31/03","2019
31/03"
총매출,4585.06,3107.52,3030.89,2782.17
매출,4585.06,3107.52,3030.89,2782.17
기타 매출 총계,-,-,-,-
총매출원가,2568.7,1764.42,1710.9,1607.18
총 이익,2016.36,1343.1,1320,1174.99
총 영업비용,4159.45,2559.15,2493.85,2371.15
판매/일반/관리 비용 총계,1502.75,731.32,716.73,653.74
연구 및 개발,87.94,66.33,65.55,63.04
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-0.8,-0.23
특별비용(수익),0.05,-2.91,0.67,47.19
기타 영업비용 총계,-,-,-,-
영업 이익,425.62,548.37,537.05,411.02
영업외이자수익(비용) 순계,-,-30.84,-38.29,-41.99
자산처분이익(손실),-,-,-,-
기타비용 순계,-111.11,-30.84,-38.29,-
세전당기순이익,314.5,517.53,498.75,369.03
소득세충당금,71.63,120.66,90.89,64.28
세후당기순이익,242.87,396.87,407.86,304.75
소액주주지분,1.02,0.53,-0.2,-1.02
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,243.89,397.4,407.66,303.72
특별손익항목 총계,-,-,-,-
순이익,243.89,397.4,407.66,303.72
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,243.89,397.4,407.66,303.72
희석화에 따른 조정,-,-,-,-
희석 당기순이익,243.89,397.4,407.66,303.72
희석된 가중 평균 주식,98.33,85.9,85.64,85.47
특별손익항목 제외 희석주당순이익,2.48,4.63,4.76,3.55
주당배당금 - 발행 보통주,1.69,1.57,1.45,1.33
희석 정상주당순이익,4.09,5.18,4.93,4.56
