마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2986.27,2666.7,2158.76,1881.88
매출,2986.27,2666.7,2158.76,1881.88
기타 매출 총계,-,-,-,-
총매출원가,129.49,109.83,92.75,72.62
총 이익,2856.78,2556.87,2066.01,1809.26
총 영업비용,2400.49,2930.38,1756.75,1752.66
판매/일반/관리 비용 총계,739.56,516.92,468.71,434.41
연구 및 개발,1458.18,2215.94,1154.11,1197.96
감가상각/무형자산상각,21.5,21.5,21.5,21.5
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),51.76,66.19,19.68,26.17
기타 영업비용 총계,-,-,-,-
영업 이익,585.78,-263.68,402.01,129.22
영업외이자수익(비용) 순계,-25.98,31.46,84.78,-45.64
자산처분이익(손실),-,-,-,-
기타비용 순계,10.65,23.21,52.18,31.76
세전당기순이익,570.44,-232.22,486.79,115.35
소득세충당금,-378.14,63.48,39.88,5.85
세후당기순이익,948.58,-295.7,446.91,109.49
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,948.58,-295.7,446.91,109.49
특별손익항목 총계,-,-,-,-
순이익,948.58,-295.7,446.91,109.49
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,948.58,-295.7,446.91,109.49
희석화에 따른 조정,-,-,-,-
희석 당기순이익,948.58,-295.7,446.91,109.49
희석된 가중 평균 주식,222.07,218.07,217.66,215.63
특별손익항목 제외 희석주당순이익,4.27,-1.36,2.05,0.51
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,4.42,-1.16,2.14,0.62
