마감 기준:,"2021
30/11","2020
30/11","2019
30/11","2018
30/11"
총매출,1908,5595,20825,18881
매출,1908,5595,20825,18881
기타 매출 총계,-,-,-,-
총매출원가,2717,4760,12908,11090
총 이익,-809,835,7917,7791
총 영업비용,9667,14460,17549,15556
판매/일반/관리 비용 총계,1885,1878,2480,2450
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2233,2241,2160,2017
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),1487,4063,-,-
기타 영업비용 총계,1345,1518,1,-1
영업 이익,-7759,-8865,3276,3325
영업외이자수익(비용) 순계,-1589,-877,-183,-121
자산처분이익(손실),-,-,-,-
기타비용 순계,-174,-511,-33,3
세전당기순이익,-9522,-10253,3060,3207
소득세충당금,-21,-17,71,54
세후당기순이익,-9501,-10236,2989,3153
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-9501,-10236,2989,3153
특별손익항목 총계,-,-,-,-
순이익,-9501,-10236,2989,3153
당기순이익에 대한 조정 총계,-,-,1,-1
특별손익항목 제외 보통주주 분배 가능 이익,-9501,-10236,2990,3152
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-9501,-10236,2990,3152
희석된 가중 평균 주식,1123,775,692,710
특별손익항목 제외 희석주당순이익,-8.46,-13.21,4.32,4.44
주당배당금 - 발행 보통주,-,1,2,1.9
희석 정상주당순이익,-7.13,-6.46,4.33,4.39
