마감 기준:,"2021
30/11","2020
30/11","2019
30/11","2018
30/11"
총매출,6317.9,5601.3,5347.4,5302.8
매출,6317.9,5601.3,5347.4,5302.8
기타 매출 총계,-,-,-,-
총매출원가,3812.3,3300.9,3202.1,3209.5
총 이익,2505.6,2300.4,2145.3,2093.3
총 영업비용,5302.8,4601.8,4389.7,4411.7
판매/일반/관리 비용 총계,1316.8,1213,1099.5,1094
연구 및 개발,87.3,68.6,67.3,69.4
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),86.4,19.3,20.8,38.8
기타 영업비용 총계,-,-,-,-
영업 이익,1015.1,999.5,957.7,891.1
영업외이자수익(비용) 순계,-127.3,-127.8,-155.8,-167.7
자산처분이익(손실),-,-,-,-
기타비용 순계,8,9.8,17.3,17.9
세전당기순이익,895.8,881.5,819.2,741.3
소득세충당금,192.7,174.9,158.9,144.2
세후당기순이익,703.1,706.6,660.3,597.1
소액주주지분,-,-,-,-
관계회사 주식,52.2,40.8,40.9,34.8
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,755.3,747.4,701.2,631.9
특별손익항목 총계,-,-,1.5,301.5
순이익,755.3,747.4,702.7,933.4
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,755.3,747.4,701.2,631.9
희석화에 따른 조정,-,-,-,-
희석 당기순이익,755.3,747.4,702.7,933.4
희석된 가중 평균 주식,269.9,269.1,268.2,266.4
특별손익항목 제외 희석주당순이익,2.8,2.78,2.61,2.37
주당배당금 - 발행 보통주,1.36,1.24,1.14,1.04
희석 정상주당순이익,3.1,2.83,2.68,2.49
