마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,8970.06,7566.04,7428.44,7189.65
매출,8970.06,7566.04,7428.44,7189.65
기타 매출 총계,-,-,-,-
총매출원가,6763.11,5937.4,5849.86,5692.13
총 이익,2206.95,1628.64,1578.58,1497.53
총 영업비용,7326.54,6447.14,6377.27,6204.84
판매/일반/관리 비용 총계,563.43,509.73,527.4,512.71
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,1643.52,1118.9,1051.17,984.81
영업외이자수익(비용) 순계,-53.12,-40.87,-25.38,-25.08
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1590.4,1078.03,1025.8,959.73
소득세충당금,353.68,176.78,147.26,163.03
세후당기순이익,1236.72,901.25,878.54,796.7
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1236.72,901.25,878.54,796.7
특별손익항목 총계,-,-,-,0.5
순이익,1236.72,901.25,878.54,797.2
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1236.72,901.25,878.54,796.7
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1236.72,901.25,878.54,797.2
희석된 가중 평균 주식,3.86,3.92,3.97,4.09
특별손익항목 제외 희석주당순이익,320.48,230.09,221.13,194.7
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,320.48,230.09,221.13,194.7
