마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,8971.34,8149.72,7986.25,7791.07
매출,8971.34,8149.72,7986.25,7791.07
기타 매출 총계,-,-,-,-
총매출원가,4917.52,4446.24,4363.77,4204.42
총 이익,4053.82,3703.48,3622.48,3586.65
총 영업비용,7041.37,6492.6,6440.76,6217.73
판매/일반/관리 비용 총계,1953.39,1842.55,1874.81,1813.71
연구 및 개발,40.11,37.58,37.15,38.52
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-7.15,1.2
특별비용(수익),130.35,166.24,172.18,159.88
기타 영업비용 총계,-,-,-,-
영업 이익,1929.97,1657.12,1545.49,1573.34
영업외이자수익(비용) 순계,-127.42,-149.37,-144.12,-138.84
자산처분이익(손실),-,-,-,-
기타비용 순계,-5.33,-12.75,-20.59,-24.44
세전당기순이익,1797.22,1495,1380.78,1410.06
소득세충당금,314.4,219.58,234.03,246.81
세후당기순이익,1482.82,1275.41,1146.75,1163.25
소액주주지분,-5.31,3.29,2.94,6.51
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1477.51,1278.71,1149.69,1169.76
특별손익항목 총계,-,-,-,7.8
순이익,1477.51,1278.71,1149.69,1177.56
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1477.51,1278.71,1149.69,1169.76
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1477.51,1278.71,1149.69,1177.56
희석된 가중 평균 주식,207.76,209.41,210.7,210.99
특별손익항목 제외 희석주당순이익,7.11,6.11,5.46,5.54
주당배당금 - 발행 보통주,3.41,3.15,2.99,2.76
희석 정상주당순이익,7.63,6.78,6.13,6.33
