마감 기준:,"2021
31/07","2020
31/07","2019
31/07","2018
31/07"
총매출,2692.51,2205.58,2041.96,1805.69
매출,2692.51,2205.58,2041.96,1805.69
기타 매출 총계,-,-,-,-
총매출원가,1335.72,1190.08,1141.82,1043.33
총 이익,1356.79,1015.5,900.14,762.37
총 영업비용,1556.09,1389.48,1325.48,1221.35
판매/일반/관리 비용 총계,196.12,171.47,157.06,155.52
연구 및 개발,-,-,-,-
감가상각/무형자산상각,21.05,24.39,21.73,21.37
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,1.13
기타 영업비용 총계,3.19,3.54,4.88,-
영업 이익,1136.43,816.1,716.48,584.35
영업외이자수익(비용) 순계,-20.25,-18.87,-17.59,-19.07
자산처분이익(손실),-,-,-,-
기타비용 순계,5.67,3.61,6.06,-2.76
세전당기순이익,1121.85,800.84,704.95,562.51
소득세충당금,185.35,100.93,112.16,136.4
세후당기순이익,936.5,699.91,592.79,426.11
소액주주지분,-,-,-,-0.14
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,936.5,699.91,592.79,425.97
특별손익항목 총계,-,-,-1.1,-8.1
순이익,936.5,699.91,591.69,417.87
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,936.5,699.91,592.79,425.97
희석화에 따른 조정,-,-,-,0.58
희석 당기순이익,936.5,699.91,591.69,417.87
희석된 가중 평균 주식,240.29,238.66,240.45,241.88
특별손익항목 제외 희석주당순이익,3.9,2.93,2.47,1.76
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,3.9,2.93,2.47,1.76
