마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5256.33,4015.13,4109.11,4043.7
매출,5256.33,4015.13,4109.11,4043.7
기타 매출 총계,-,-,-,-
총매출원가,567.62,373.43,473.11,491.03
총 이익,4688.71,3641.7,3636,3552.66
총 영업비용,3864.73,3108.25,3290.41,3226.64
판매/일반/관리 비용 총계,2691.74,2238.08,2328.59,2276.42
연구 및 개발,-,-,-,-
감가상각/무형자산상각,259.88,261.26,253.68,230.36
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,345.49,235.48,235.02,228.84
영업 이익,1391.6,906.88,818.71,817.05
영업외이자수익(비용) 순계,-0.94,-0.95,6.39,2.92
자산처분이익(손실),-,-,-,-
기타비용 순계,-2.24,-4.57,-1.14,-4.46
세전당기순이익,1388.42,901.36,823.95,815.51
소득세충당금,354.05,228.68,208.43,209.84
세후당기순이익,1034.38,672.68,615.52,605.67
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1034.38,672.68,615.52,605.67
특별손익항목 총계,-,-,-,-
순이익,1034.38,672.68,615.52,605.67
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1034.38,672.68,615.52,605.67
희석화에 따른 조정,-,-,0.39,-
희석 당기순이익,1034.38,672.68,615.52,605.67
희석된 가중 평균 주식,116.41,118.49,120.61,123.03
특별손익항목 제외 희석주당순이익,8.89,5.68,5.1,4.92
주당배당금 - 발행 보통주,0.8,0.6,0.45,0.35
희석 정상주당순이익,8.89,5.68,5.1,4.92
