마감 기준:,"2021
31/12","2021
01/01","2020
03/01","2019
28/06"
총매출,17814,18194,9263,6801
매출,17814,18194,9263,6801
기타 매출 총계,-,-,-,-
총매출원가,12438,12886,6726,4467
총 이익,5376,5308,2537,2334
총 영업비용,15739,17017,8403,5709
판매/일반/관리 비용 총계,2460,2627,1598,911
연구 및 개발,692,684,329,331
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),149,820,-250,-
기타 영업비용 총계,-,-,-,-
영업 이익,2075,1177,860,1092
영업외이자수익(비용) 순계,-265,-254,-123,-166
자산처분이익(손실),-,-,-,-
기타비용 순계,473,399,171,187
세전당기순이익,2283,1322,908,1113
소득세충당금,440,234,73,160
세후당기순이익,1843,1088,835,953
소액주주지분,4,33,-12,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1847,1121,823,953
특별손익항목 총계,-1,-2,-1,-4
순이익,1846,1119,822,949
당기순이익에 대한 조정 총계,-,-,-,-2
특별손익항목 제외 보통주주 분배 가능 이익,1847,1121,823,951
희석화에 따른 조정,-,1.52,-,-
희석 당기순이익,1846,1119,822,947
희석된 가중 평균 주식,203.2,215.9,223.7,120.5
특별손익항목 제외 희석주당순이익,9.09,5.19,3.68,7.89
주당배당금 - 발행 보통주,4.08,3.4,1.5,2.74
희석 정상주당순이익,9.68,8.93,3.2,7.89
