종목,현재가,고가,저가,변동,변동 %,거래량,시간
애플,147.11,148.10,143.11,+4.55,+3.19%,112.86M,14/05
마이크로소프트,261.12,263.04,255.35,+5.77,+2.26%,34.67M,14/05
인텔,43.60,43.84,42.97,+0.76,+1.77%,31.99M,14/05
보잉,127.20,130.80,122.38,+4.06,+3.30%,20.82M,14/05
버라이즌 커뮤니케이션,48.18,48.45,47.61,+0.12,+0.25%,20.67M,14/05
시스코 시스템즈,49.56,49.63,48.53,+1.27,+2.63%,18.77M,14/05
월트 디즈니,107.33,107.69,105.31,+3.02,+2.90%,16.64M,14/05
코카콜라,65.72,65.80,64.12,+1.21,+1.88%,15.46M,14/05
제이피모건체이스,119.09,120.25,117.96,+1.05,+0.89%,10.33M,14/05
머크앤드컴퍼니,90.41,91.05,89.26,-0.42,-0.46%,10.10M,14/05
나이키,113.01,113.11,108.67,+5.11,+4.74%,9.57M,14/05
셰브론,167.87,168.79,164.88,+3.16,+1.92%,9.20M,14/05
존슨앤드존슨,176.85,178.89,175.80,-1.02,-0.57%,7.26M,14/05
비자(V),199.23,200.54,196.50,+5.26,+2.71%,6.68M,14/05
월마트,148.05,148.38,146.14,+0.57,+0.39%,6.58M,14/05
세일즈포스닷컴,166.91,168.68,162.01,+6.49,+4.05%,6.18M,14/05
월그린 부츠 얼라이언스,43.55,43.71,42.97,+0.39,+0.90%,5.74M,14/05
프록터 앤드 갬블,153.62,153.73,150.42,+1.63,+1.07%,5.65M,14/05
IBM,133.60,133.80,131.05,+0.70,+0.53%,4.18M,14/05
홈디포,296.03,299.42,288.45,+6.34,+2.19%,3.92M,14/05
다우,67.56,68.32,67.26,+0.52,+0.78%,3.89M,14/05
아메리칸 익스프레스,158.75,160.09,155.88,+5.48,+3.58%,3.33M,14/05
맥도날드,245.04,247.18,242.28,+0.85,+0.35%,3.25M,14/05
하니웰,193.53,194.95,190.93,+0.61,+0.32%,3.23M,14/05
3M,149.30,150.35,147.97,-0.29,-0.19%,2.73M,14/05
암젠,243.40,245.00,241.29,-1.32,-0.54%,2.63M,14/05
유나이티드헬스그룹,485.40,487.00,475.81,+6.60,+1.38%,2.40M,14/05
캐터필러,204.33,206.46,202.92,+1.30,+0.64%,2.32M,14/05
골드만 삭스,306.99,309.63,303.57,+7.58,+2.53%,2.10M,14/05
트래블러스,172.78,174.23,171.37,-0.59,-0.34%,1.19M,14/05
