종목,현재가,고가,저가,변동,변동 %,거래량,시간
AMD,95.12,96.57,88.22,+8.06,+9.26%,137.46M,14/05
애플,147.11,148.10,143.11,+4.55,+3.19%,112.86M,14/05
멀른 오토모티브,0.99,1.08,0.92,+0.12,+14.20%,112.54M,14/05
Veru,13.000,15.150,10.410,+3.970,+43.96%,108.91M,14/05
Polarityte,0.2117,0.2700,0.2000,+0.0652,+44.51%,78.25M,14/05
엔비디아,177.06,179.28,165.93,+15.31,+9.47%,65.96M,14/05
마이크로소프트,261.12,263.04,255.35,+5.77,+2.26%,34.67M,14/05
인텔,43.60,43.84,42.97,+0.76,+1.77%,31.99M,14/05
테슬라,769.59,787.35,751.57,+41.59,+5.71%,30.49M,14/05
플러그파워,15.03,15.41,14.10,+1.45,+10.68%,29.08M,14/05
컴캐스트,41.48,41.90,41.05,+0.09,+0.22%,28.20M,14/05
시리우스 XM,6.140,6.170,5.960,+0.150,+2.50%,26.30M,14/05
마이크론 테크놀로지,71.92,72.63,68.02,+4.21,+6.22%,21.85M,14/05
시스코 시스템즈,49.56,49.63,48.53,+1.27,+2.63%,18.77M,14/05
아미리스,2.36,2.38,1.75,+0.64,+37.21%,18.15M,14/05
스타벅스,75.60,75.73,71.88,+5.70,+8.15%,18.11M,14/05
퓨얼셀,3.520,3.600,3.255,+0.360,+11.39%,17.71M,14/05
라이엇 블록체인,7.97,8.43,7.72,+0.66,+9.03%,16.99M,14/05
AGNC 인베스트먼트,12.39,12.39,12.07,+0.28,+2.31%,16.37M,14/05
Warner Bros Discovery,18.10,18.25,17.17,+0.99,+5.79%,15.28M,14/05
유나이티드 항공,43.27,43.64,42.19,+1.77,+4.27%,13.66M,14/05
Dynavax Tech,9.600,10.190,8.880,+1.675,+21.14%,13.43M,14/05
마벨 테크놀로지,57.57,58.03,53.43,+5.18,+9.89%,13.19M,14/05
넷플릭스,187.64,187.77,176.01,+13.33,+7.65%,12.50M,14/05
큐리그 닥터 페퍼,37.21,37.44,36.78,+0.35,+0.95%,12.19M,14/05
헌팅턴 뱅크셰어스,13.05,13.17,12.90,+0.17,+1.32%,11.64M,14/05
CSX,33.43,33.88,33.08,+0.43,+1.30%,11.10M,14/05
비아트리스,11.08,11.15,10.79,+0.23,+2.12%,10.96M,14/05
Qurate Retail A,3.84,3.89,3.54,+0.28,+7.87%,10.88M,14/05
컬러스타 테크,0.1300,0.1359,0.1171,+0.0091,+7.53%,10.57M,14/05
제트블루 항공,10.06,10.07,9.76,+0.48,+5.01%,10.40M,14/05
제보,3.600,3.640,3.200,+0.490,+15.76%,9.80M,14/05
Baker Hughes,34.11,34.20,32.36,+2.20,+6.89%,9.76M,14/05
Pacific Biosci,5.84,5.94,5.07,+0.85,+17.03%,9.74M,14/05
퀄컴,134.93,135.99,132.50,+3.16,+2.40%,9.25M,14/05
길리어드 사이언시스,62.37,62.61,61.56,-0.11,-0.18%,8.33M,14/05
CTI 바이오파머,4.200,4.670,3.950,+0.540,+14.75%,8.27M,14/05
어플라이드 머티어리얼즈,111.86,112.63,108.03,+5.10,+4.78%,8.15M,14/05
아파치,41.15,41.92,39.25,+3.12,+8.20%,7.97M,14/05
크래프트 하인즈,44.29,44.31,43.01,+1.24,+2.88%,7.67M,14/05
ImmunoGen,3.830,4.000,3.775,-0.010,-0.26%,7.35M,14/05
트립닷컴,20.88,21.24,19.84,+1.39,+7.13%,7.00M,14/05
Goodyear Tire & Rubber Co,12.14,12.29,11.44,+0.95,+8.49%,6.47M,14/05
이베이,46.65,46.76,45.72,+0.49,+1.06%,6.44M,14/05
온 세미컨덕터,56.18,56.62,54.10,+3.20,+6.04%,6.28M,14/05
디시 네트워크,20.86,21.24,19.99,+0.85,+4.25%,6.26M,14/05
Ballard,6.87,7.03,6.51,+0.60,+9.57%,6.13M,14/05
노바백스,51.89,52.75,48.52,+3.91,+8.15%,6.09M,14/05
윈 리조트,66.27,66.72,60.73,+7.71,+13.17%,5.98M,14/05
노턴라이프락,23.95,24.35,23.71,+0.28,+1.18%,5.88M,14/05
NY Mortgage,3.040,3.040,2.930,+0.100,+3.40%,5.81M,14/05
월그린 부츠 얼라이언스,43.55,43.71,42.97,+0.39,+0.90%,5.74M,14/05
마이크로칩 테크,67.03,67.73,65.91,+1.60,+2.45%,5.66M,14/05
엑셀론,46.73,46.77,45.85,+0.88,+1.92%,5.59M,14/05
엔도 인터,1.200,1.220,1.115,+0.070,+6.19%,5.43M,14/05
호스트 호텔 & 리조트,19.90,19.98,19.29,+0.70,+3.65%,5.42M,14/05
